endpoint	stratum	holdout	train_cohorts	candidate	candidate_family	selection_mode	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	performance_score	bio_prior_cosine	bio_sign_agreement	bio_compactness_bonus	bio_objective_bonus	selection_score	selected_candidate
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	apm_cyto_resistance	response_resistance_axis	bio_objective	0.6261752136752136	0.07798428137030577	0.5894952620531723	0.5601800976800978	0.19481638497996334	0.6449191463323883	0.6765560069081112	0.5714285714285714	1.0	0.09698162340979176	0.7419007697421801	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	exhaustion_penalty	prior_perturbation	bio_objective	0.568009768009768	0.05608610330981126	0.5722655469944146	0.4862026862026861	0.1791876197045219	0.5946252624087599	0.8740200053736313	0.8571428571428571	0.0	0.10420731471560479	0.6988325771243646	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	drop_ifn_t_cell_inflamed	single_module_drop	bio_objective	0.6280067155067154	0.050171901637044054	0.6100027186897087	0.5326617826617827	0.21013936676963288	0.6590332206748084	0.727606875108999	0.8571428571428571	0.0	0.09249426429443422	0.7515274849692426	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	drop_cytotoxic_cd8	single_module_drop	bio_objective	0.5931471306471306	0.05344639528124693	0.5877435327474828	0.515964590964591	0.22537248003868593	0.6171906438236822	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.7266232730396144	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	drop_exhaustion_checkpoint	single_module_drop	bio_objective	0.5852106227106227	0.04835192296051812	0.5774280542271171	0.5492979242979243	0.17847872507755932	0.6194705541063378	0.9851843661437777	0.8571428571428571	0.0	0.11310046357721651	0.7325710176835543	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	drop_antigen_presentation	single_module_drop	bio_objective	0.568009768009768	0.04815731596582021	0.5910666525174988	0.5535714285714286	0.18722682315534467	0.6026323232338775	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.7120649524498097	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	drop_myeloid_suppression	single_module_drop	bio_objective	0.5572802197802198	0.0563917574879987	0.5656442014399332	0.5081654456654456	0.1890155697126931	0.5827046980065821	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.6921373272225143	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	drop_stromal_exclusion	single_module_drop	bio_objective	0.5896825396825397	0.03127896764923124	0.578090670954373	0.530006105006105	0.17319251182393533	0.6323735514300762	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.7418061806460085	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	drop_trm_tls	single_module_drop	bio_objective	0.5913156288156288	0.05158499409625709	0.5862327217817846	0.5492979242979243	0.18943977349064436	0.6231953341369783	0.9851843661437778	0.8571428571428571	0.0	0.11310046357721651	0.7362957977141947	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	bio_prior	prior	no_bio_objective	0.5940018315018315	0.053732902652584104	0.5919310143351496	0.5492979242979243	0.15965219964307512	0.6298455478774894	0.9999999999999999	1.0	0.0	0.12	0.6298455478774894	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	bio_prior_strong_suppression	prior_perturbation	no_bio_objective	0.6154456654456654	0.04272291821725969	0.6064441486367865	0.5298534798534799	0.19044246153280261	0.6526549259634677	0.9457924331331943	1.0	0.0	0.11566339465065553	0.6526549259634677	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	bio_prior_no_exhaustion	prior_perturbation	no_bio_objective	0.5852106227106227	0.04835192296051812	0.5774280542271171	0.5492979242979243	0.17847872507755932	0.6194705541063378	0.9851843661437777	0.8571428571428571	0.0	0.11310046357721651	0.6194705541063378	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	response_equal_resistance_negative	ecology_symmetric	no_bio_objective	0.6026556776556776	0.04487634224796425	0.6042895914036467	0.5181013431013431	0.1886310594954054	0.6382568739028164	0.90748521297303	1.0	0.0	0.11259881703784241	0.6382568739028164	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	response_equal_no_resistance	response_only	no_bio_objective	0.5564102564102563	0.054874191177006905	0.5717864621255365	0.48498168498168504	0.15819774813909362	0.5866712290625267	0.7669649888473703	0.7142857142857143	1.0	0.1099286276792182	0.5866712290625267	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	ifn_only	single_axis	no_bio_objective	0.5061660561660561	0.08099302474928666	0.52988265587524	0.5765873015873016	0.176029549469333	0.521082742037902	0.6859943405700353	0.14285714285714285	1.0	0.08059383295988853	0.521082742037902	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	ifn_apm_cyto	response_axis	no_bio_objective	0.5638431013431013	0.03658606054778419	0.5805506353655673	0.5482295482295482	0.1559812550905182	0.6076194237536657	0.8463182721583792	0.5714285714285714	1.0	0.1105626046298132	0.6076194237536657	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	apm_cyto_resistance	response_resistance_axis	no_bio_objective	0.6261752136752136	0.07798428137030577	0.5894952620531723	0.5601800976800978	0.19481638497996334	0.6449191463323883	0.6765560069081112	0.5714285714285714	1.0	0.09698162340979176	0.6449191463323883	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	exhaustion_penalty	prior_perturbation	no_bio_objective	0.568009768009768	0.05608610330981126	0.5722655469944146	0.4862026862026861	0.1791876197045219	0.5946252624087599	0.8740200053736313	0.8571428571428571	0.0	0.10420731471560479	0.5946252624087599	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	drop_ifn_t_cell_inflamed	single_module_drop	no_bio_objective	0.6280067155067154	0.050171901637044054	0.6100027186897087	0.5326617826617827	0.21013936676963288	0.6590332206748084	0.727606875108999	0.8571428571428571	0.0	0.09249426429443422	0.6590332206748084	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	drop_cytotoxic_cd8	single_module_drop	no_bio_objective	0.5931471306471306	0.05344639528124693	0.5877435327474828	0.515964590964591	0.22537248003868593	0.6171906438236822	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.6171906438236822	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	drop_exhaustion_checkpoint	single_module_drop	no_bio_objective	0.5852106227106227	0.04835192296051812	0.5774280542271171	0.5492979242979243	0.17847872507755932	0.6194705541063378	0.9851843661437777	0.8571428571428571	0.0	0.11310046357721651	0.6194705541063378	drop_ifn_t_cell_inflamed
