candidate	AUROC	AUPRC	balanced_accuracy	mean_fold_AUROC	min_fold_AUROC	n_samples	n_responders	n_nonresponders
0.50*base+0.50*(0.65*z__PLA2G2D+0.35*z__PIK3CD)	0.7690131992457574	0.664191791002446	0.6352922690131992	0.7110094583778794	0.6098901098901099	117	43	74
0.50*base+0.50*(0.20*z__PLA2G2D+0.80*rz__PIK3CD)	0.7686989314896292	0.7095355736890121	0.6439346323067253	0.7159466264729423	0.598901098901099	117	43	74
0.50*base+0.50*(0.20*z__PLA2G2D+0.80*z__PIK3CD)	0.7686989314896292	0.7095355736890121	0.6439346323067253	0.7159466264729423	0.598901098901099	117	43	74
0.65*base+0.35*(0.65*z__PLA2G2D+0.35*pct__PIK3CD)	0.7683846637335009	0.6671209092479697	0.6352922690131992	0.7290802764486974	0.6538461538461537	117	43	74
0.65*base+0.35*(0.50*rz__PLA2G2D+0.50*pct__PIK3CD)	0.7680703959773728	0.6702539967629166	0.6525769956002514	0.7263368210736632	0.6483516483516483	117	43	74
0.65*base+0.35*(0.35*rz__PLA2G2D+0.65*pct__PIK3CD)	0.7680703959773727	0.6778160363532455	0.6631049654305468	0.7253179568969044	0.6153846153846154	117	43	74
0.65*base+0.35*(0.80*z__PLA2G2D+0.20*pct__PIK3CD)	0.7677561282212445	0.6612874576499121	0.6371778755499686	0.7275426328057907	0.6538461538461539	117	43	74
0.65*base+0.35*(0.65*rz__PLA2G2D+0.35*pct__PIK3CD)	0.7677561282212444	0.6624486710391693	0.642049025769956	0.7282828282828282	0.6538461538461537	117	43	74
0.35*base+0.65*(0.65*pct__PLA2G2D+0.35*rz__PIK3CD)	0.7677561282212444	0.6574686856150898	0.6266499057196732	0.715149178307073	0.5989010989010989	117	43	74
0.35*base+0.65*(0.65*pct__PLA2G2D+0.35*z__PIK3CD)	0.7677561282212444	0.6574686856150898	0.6266499057196732	0.715149178307073	0.5989010989010989	117	43	74
0.65*base+0.35*(0.35*z__PLA2G2D+0.65*pct__PIK3CD)	0.7674418604651163	0.6784367174756314	0.6882463859208046	0.7245205087310351	0.6153846153846154	117	43	74
0.50*base+0.50*(0.80*pct__PLA2G2D+0.20*pct__PIK3CD)	0.7674418604651163	0.6551359556985497	0.6266499057196732	0.7273440010282116	0.6373626373626373	117	43	74
0.65*base+0.35*(0.80*rz__PLA2G2D+0.20*pct__PIK3CD)	0.7674418604651162	0.6583057226587694	0.6352922690131992	0.7259477364740522	0.6538461538461539	117	43	74
0.65*base+0.35*(0.50*z__PLA2G2D+0.50*pct__PIK3CD)	0.7664990571967316	0.6728417889870943	0.6488057825267128	0.7287291655712709	0.6483516483516483	117	43	74
0.65*base+0.35*(0.35*pct__PLA2G2D+0.65*pct__PIK3CD)	0.7664990571967316	0.6725556183723325	0.6371778755499686	0.728004159583107	0.6208791208791209	117	43	74
