endpoint	stratum	candidate	weight_base	component_method	component_gene	selection_boundary	n_samples	n_responders	n_nonresponders	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*rz__MAP4K1	0.8	rz	MAP4K1	selected_by_primary_lodo_only	117	43	74	0.7655562539283469	0.6522511846977499	0.7118164676304211	0.7350427350427351	0.40272150409312446	0.5507246376811594	0.4418604651162791	0.9054054054054054	0.7307692307692307	0.7362637362637363	0.18743036807366242	0.07465065777304658	0.36198012271493585	-0.3658313605844371
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*pct__TAP1	0.5	pct	TAP1	selected_by_primary_lodo_only	117	43	74	0.7655562539283469	0.6473959788282303	0.6915461973601509	0.7094017094017094	0.3949466046598721	0.6304347826086957	0.6744186046511628	0.7297297297297297	0.5918367346938775	0.7941176470588235	0.19474836231282563	0.10255998016671357	0.8282283222829849	-0.45888119829459084
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*z__C12orf42	0.65	z	C12orf42	selected_by_primary_lodo_only	117	43	74	0.7655562539283469	0.6394378838715546	0.6390634820867378	0.6923076923076923	0.3011123932693389	0.3333333333333333	0.20930232558139536	0.972972972972973	0.8181818181818182	0.6792452830188679	0.1995448035765852	0.10058113120156657	0.3235566631064211	-0.2156779651061518
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*z__CLNK	0.65	z	CLNK	selected_by_primary_lodo_only	117	43	74	0.7655562539283469	0.6363084280475428	0.6945317410433689	0.7008547008547008	0.3131328598003728	0.4444444444444444	0.32558139534883723	0.918918918918919	0.7	0.7010309278350515	0.19113625973710216	0.08839344546015701	0.3897224266384798	-0.22112409271695735
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*z__KCNA5	0.65	z	KCNA5	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6878486107854321	0.6158076681332495	0.6752136752136753	0.28217721891863307	0.525	0.4883720930232558	0.7837837837837838	0.5675675675675675	0.725	0.1853861295554754	0.11211705514035748	0.7585353331155937	-0.25333209910224747
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*pct__IRF1	0.65	pct	IRF1	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6782427380645683	0.7302011313639221	0.7094017094017094	0.3584237191807117	0.575	0.5348837209302325	0.8108108108108109	0.6216216216216216	0.75	0.1859819276873428	0.06470766703037512	0.9980868640202663	-0.2162008318809292
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*pct__CD8B	0.65	pct	CD8B	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6704532471259806	0.6382778126964174	0.7094017094017094	0.36352385265882764	0.5853658536585366	0.5581395348837209	0.7972972972972973	0.6153846153846154	0.7564102564102564	0.1885636859536369	0.06822937021751849	0.9011562682104828	-0.2962956360206733
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*pct__PDCD1	0.65	pct	PDCD1	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6619753076792915	0.6972030169704588	0.7094017094017094	0.3584237191807117	0.575	0.5348837209302325	0.8108108108108109	0.6216216216216216	0.75	0.18850463097067766	0.07309623531629135	0.6195236857861209	-0.35203149012932183
primary_recist	melanoma_core_high_evidence	0.35*base+0.65*z__NUGGC	0.35	z	NUGGC	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6584098674315181	0.642049025769956	0.7008547008547008	0.3197848269606847	0.38596491228070173	0.2558139534883721	0.9594594594594594	0.7857142857142857	0.6893203883495146	0.20732779335419943	0.13863193828601295	0.8332909611262419	0.5539028989514752
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*rz__MS4A1	0.8	rz	MS4A1	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6472644535978038	0.6712759270898805	0.7264957264957265	0.38258542888846825	0.5	0.37209302325581395	0.9324324324324325	0.7619047619047619	0.71875	0.1879472969300046	0.08663551167410105	0.36607792454675353	-0.30997998844575997
primary_recist	melanoma_core_high_evidence	0.35*base+0.65*rz__NELL2	0.35	rz	NELL2	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6405304503176197	0.609365179132621	0.7264957264957265	0.381919024416143	0.5428571428571428	0.4418604651162791	0.8918918918918919	0.7037037037037037	0.7333333333333333	0.1887722973979714	0.061170157559454895	0.3601838831887312	-0.3677048376643346
primary_recist	melanoma_core_high_evidence	0.35*base+0.65*z__NELL2	0.35	z	NELL2	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6405304503176197	0.609365179132621	0.7264957264957265	0.381919024416143	0.5428571428571428	0.4418604651162791	0.8918918918918919	0.7037037037037037	0.7333333333333333	0.18877229751818034	0.061170157695041284	0.3601838673950474	-0.3677048786241471
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*rz__BLK	0.65	rz	BLK	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6341645748025342	0.6934318038969202	0.7094017094017094	0.3372898180784428	0.45161290322580644	0.32558139534883723	0.9324324324324325	0.7368421052631579	0.7040816326530612	0.1912886603844929	0.09454685843910489	0.35507291427332754	-0.2792437541195132
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*z__C12orf42	0.5	z	C12orf42	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.631781363839647	0.642049025769956	0.6923076923076923	0.3011123932693389	0.3333333333333333	0.20930232558139536	0.972972972972973	0.8181818181818182	0.6792452830188679	0.21431125578888846	0.14511543850497874	0.3062970997842464	-0.14957642265945378
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*z__TAP1	0.5	z	TAP1	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6214949260013216	0.6682903834066625	0.7008547008547008	0.388473134840457	0.631578947368421	0.6976744186046512	0.7027027027027027	0.5769230769230769	0.8	0.20002816921958172	0.10729038451101967	0.34676874276136405	-0.5441567354930277
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*rz__TAP1	0.5	rz	TAP1	selected_by_primary_lodo_only	117	43	74	0.7652419861722187	0.6214949260013216	0.6682903834066625	0.7008547008547008	0.388473134840457	0.631578947368421	0.6976744186046512	0.7027027027027027	0.5769230769230769	0.8	0.20002817008111307	0.10729038495006203	0.3467687308614146	-0.5441567364076342
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*rz__PPP1R16B	0.5	rz	PPP1R16B	selected_by_primary_lodo_only	117	43	74	0.7652419861722186	0.6691373193183173	0.6352922690131992	0.7094017094017094	0.3363909034189628	0.46875	0.3488372093023256	0.918918918918919	0.7142857142857143	0.7083333333333334	0.18941219596393138	0.07542652491735112	0.7958927451473115	0.10078920691334284
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*z__NLRP7	0.5	z	NLRP7	selected_by_primary_lodo_only	117	43	74	0.7652419861722186	0.6405172094559399	0.6682903834066625	0.6752136752136753	0.2379378321107622	0.3448275862068966	0.23255813953488372	0.9324324324324325	0.6666666666666666	0.6764705882352942	0.20244838233592952	0.14783019738303674	0.8463958253064404	0.3246432063504891
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*pct__DMRTB1	0.8	pct	DMRTB1	selected_by_primary_lodo_only	117	43	74	0.7649277184160906	0.6528342116824317	0.6623192960402262	0.717948717948718	0.41654930787479716	0.6451612903225806	0.6976744186046512	0.7297297297297297	0.6	0.8059701492537313	0.1973360083553998	0.10447245727083654	0.3282085875138811	-0.5319890892520487
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*pct__SMPD2	0.5	pct	SMPD2	selected_by_primary_lodo_only	117	43	74	0.7649277184160905	0.7244122741778577	0.7066310496543055	0.6752136752136753	0.33091870274217094	0.5957446808510638	0.6511627906976745	0.6891891891891891	0.5490196078431373	0.7727272727272727	0.19005905316742217	0.11066515532184512	0.8285550959672702	-0.3681051084438239
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*pct__KCNA5	0.8	pct	KCNA5	selected_by_primary_lodo_only	117	43	74	0.7649277184160905	0.7088841523872663	0.6495914519170334	0.7008547008547008	0.3419948417364168	0.5679012345679012	0.5348837209302325	0.7972972972972973	0.6052631578947368	0.7468354430379747	0.18511637971837597	0.06911346783342227	0.8917380783722484	-0.25387798525524385
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*z__CD6	0.5	z	CD6	selected_by_primary_lodo_only	117	43	74	0.7649277184160905	0.6702888297192426	0.6720615964802011	0.7264957264957265	0.38997138304596074	0.4666666666666667	0.32558139534883723	0.9594594594594594	0.8235294117647058	0.71	0.1896723596522165	0.05425119795088269	0.7635254161381316	-0.013806186380363936
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*rz__CD6	0.5	rz	CD6	selected_by_primary_lodo_only	117	43	74	0.7649277184160905	0.6702888297192426	0.6720615964802011	0.7264957264957265	0.38997138304596074	0.4666666666666667	0.32558139534883723	0.9594594594594594	0.8235294117647058	0.71	0.18967236031930462	0.05425119637131897	0.7635253813175277	-0.013806228856656458
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*z__FXYD4	0.5	z	FXYD4	selected_by_primary_lodo_only	117	43	74	0.7649277184160905	0.6653901369500086	0.7137020741671904	0.5042735042735043	0.19425390197433062	0.5671641791044776	0.8837209302325582	0.28378378378378377	0.4175824175824176	0.8076923076923077	0.2508302141670321	0.23800039970112252	0.2785393055189119	-0.7045274123623139
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*z__SCML4	0.65	z	SCML4	selected_by_primary_lodo_only	117	43	74	0.7649277184160905	0.6494783842364071	0.6566624764299183	0.7350427350427351	0.40444649650371417	0.5230769230769231	0.3953488372093023	0.9324324324324325	0.7727272727272727	0.7263157894736842	0.18503508046252434	0.0883886431480998	0.4037997289545303	-0.3054502486644402
