context_id	context_type	source_context	endpoint	model_name	bin	prob_low	prob_high	n	prob_mean	event_rate
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	0.0		
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	0.0	0.0	0.1	0.0		
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	1.0	0.1	0.2	0.0		
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	2.0	0.2	0.30000000000000004	15.0	0.2615550504127786	0.4666666666666667
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	3.0	0.30000000000000004	0.4	26.0	0.3573385263185117	0.34615384615384615
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	4.0	0.4	0.5	22.0	0.4414774979460899	0.5454545454545454
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	5.0	0.5	0.6000000000000001	15.0	0.559992928779963	0.4666666666666667
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	12.0	0.6443872760540752	0.3333333333333333
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	10.0	0.7402972236129336	0.6
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	2.0	0.846848922403628	1.0
locked_external|strict_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	1.0	0.9215603889802048	1.0
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	0.0	0.0	0.1	0.0		
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	1.0	0.1	0.2	0.0		
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	2.0	0.2	0.30000000000000004	0.0		
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	3.0	0.30000000000000004	0.4	7.0	0.34963007820229225	0.7142857142857143
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	4.0	0.4	0.5	3.0	0.4723031012699533	0.0
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	5.0	0.5	0.6000000000000001	1.0	0.5150220712097227	1.0
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	0.0		
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	1.0	0.7436411132374259	1.0
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	0.0		
locked_external|strict_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	1.0	0.9055330731763308	1.0
