fold	gene	feature_kind	selected_in_outer_training
GSE136961	STAT6	all_common	1
GSE136961	TAGAP	all_common	1
GSE136961	TAP1	all_common	1
GSE136961	TBP	all_common	1
GSE136961	TBX21	all_common	1
GSE136961	TCF7	all_common	1
GSE136961	TDO2	all_common	1
GSE136961	TFRC	all_common	1
GSE136961	TGFB1	all_common	1
GSE136961	TIGIT	all_common	1
GSE136961	TLR3	all_common	1
GSE136961	TLR7	all_common	1
GSE136961	TLR8	all_common	1
GSE136961	TLR9	all_common	1
GSE136961	TNF	all_common	1
GSE136961	TNFAIP8	all_common	1
GSE136961	TNFRSF17	all_common	1
GSE136961	TNFRSF18	all_common	1
GSE136961	TNFRSF4	all_common	1
GSE136961	TNFRSF9	all_common	1
GSE136961	TNFSF10	all_common	1
GSE136961	TNFSF13B	all_common	1
GSE136961	TNFSF14	all_common	1
GSE136961	TNFSF18	all_common	1
GSE136961	TNFSF4	all_common	1
GSE136961	TNFSF9	all_common	1
GSE136961	TOP2A	all_common	1
GSE136961	TP63	all_common	1
GSE136961	TRIM29	all_common	1
GSE136961	TWIST1	all_common	1
GSE136961	TYROBP	all_common	1
GSE136961	VCAM1	all_common	1
GSE136961	VEGFA	all_common	1
GSE136961	VTCN1	all_common	1
GSE136961	ZAP70	all_common	1
GSE136961	ZBTB46	all_common	1
GSE136961	ZEB1	all_common	1
GSE168204	ZEB1	genes_prior	1
GSE168204	AXL	genes_prior	1
GSE168204	NKG7	genes_prior	1
GSE168204	LAG3	genes_prior	1
GSE168204	GNLY	genes_prior	1
GSE168204	TIGIT	genes_prior	1
GSE168204	GZMB	genes_prior	1
GSE168204	PRF1	genes_prior	1
GSE168204	IL10	genes_prior	1
GSE168204	HAVCR2	genes_prior	1
GSE168204	PDCD1	genes_prior	1
GSE168204	TAP1	genes_prior	1
GSE168204	HLA-A	genes_prior	1
GSE168204	S100A8	genes_prior	1
GSE168204	MMP2	genes_prior	1
GSE168204	CD3E	genes_prior	1
GSE168204	S100A9	genes_prior	1
GSE168204	ISG20	genes_prior	1
GSE168204	IGF1R	genes_prior	1
GSE168204	CD163	genes_prior	1
GSE168204	PSMB9	genes_prior	1
GSE168204	PTEN	genes_prior	1
GSE168204	CD52	genes_prior	1
GSE168204	IFNG	genes_prior	1
GSE168204	CD3D	genes_prior	1
GSE168204	LILRB2	genes_prior	1
GSE168204	TGFB1	genes_prior	1
GSE168204	IRS1	genes_prior	1
GSE168204	SIT1	genes_prior	1
GSE168204	PIK3CA	genes_prior	1
GSE168204	HLA-B	genes_prior	1
GSE168204	CD3G	genes_prior	1
GSE168204	IKZF4	genes_prior	1
GSE168204	CORO1A	genes_prior	1
GSE168204	SLAMF7	genes_prior	1
GSE168204	FAS	genes_prior	1
GSE168204	ITGB7	genes_prior	1
GSE168204	SNAI2	genes_prior	1
GSE168204	TRIM29	genes_prior	1
GSE168204	CD44	genes_prior	1
GSE168204	TP63	genes_prior	1
GSE168204	IFI35	genes_prior	1
GSE168204	MADCAM1	genes_prior	1
GSE168204	FOXO1	genes_prior	1
GSE168204	AIF1	genes_prior	1
GSE168204	ENTPD1	genes_prior	1
GSE168204	STAT6	genes_prior	1
GSE168204	TNFSF13B	genes_prior	1
GSE168204	BATF	genes_prior	1
GSE168204	IL23A	genes_prior	1
GSE176307	CD37	genes	1
GSE176307	IL2	genes	1
GSE176307	CD3E	genes	1
GSE176307	MAD2L1	genes	1
GSE176307	CIITA	genes	1
GSE176307	GPR18	genes	1
GSE176307	IKZF3	genes	1
GSE176307	MAPK1	genes	1
GSE176307	KLRK1	genes	1
GSE176307	CCR7	genes	1
GSE176307	ITGAE	genes	1
GSE176307	SNAI2	genes	1
GSE176307	TNFSF9	genes	1
GSE176307	IL10RA	genes	1
GSE176307	IL10	genes	1
GSE176307	PYGL	genes	1
GSE176307	MELK	genes	1
GSE176307	ITGAL	genes	1
GSE176307	ICOS	genes	1
GSE176307	CCR1	genes	1
GSE176307	CD3D	genes	1
GSE176307	PTPN6	genes	1
GSE176307	CDK1	genes	1
GSE176307	MYC	genes	1
GSE176307	S100A9	genes	1
GSE176307	PSMB9	genes	1
GSE176307	MRC1	genes	1
GSE176307	CD226	genes	1
GSE176307	HLA-DQA1	genes	1
GSE176307	SIT1	genes	1
GSE176307	TNFSF4	genes	1
GSE176307	PMEL	genes	1
GSE176307	TBX21	genes	1
GSE176307	IL23A	genes	1
GSE176307	CXCR5	genes	1
GSE176307	AIF1	genes	1
GSE176307	LY9	genes	1
GSE176307	ITK	genes	1
GSE176307	GADD45GIP1	genes	1
GSE176307	NOS2	genes	1
GSE176307	HLA-DMA	genes	1
GSE176307	PECAM1	genes	1
GSE176307	CD2	genes	1
GSE176307	ID2	genes	1
GSE176307	TAP1	genes	1
GSE176307	CCR6	genes	1
GSE176307	CD8A	genes	1
GSE176307	PGF	genes	1
GSE176307	M6PR	genes	1
GSE176307	FOXM1	genes	1
