holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_balanced_accuracy	threshold	selection_score
GSE115821	signed_MPS	0.5311151811151811	0.41629242984669085	0.538884322991576	0.301960040691138	0.5788740187570944
GSE115821	signed_IPRES	0.47106863044363045	0.41444369666413994	0.5247585781795767	0.6021460259585508	0.5180287441858162
GSE115821	signed_C_ECM	0.4451242623117623	0.38049570518660625	0.5138175467433738	0.2071305928394269	0.4898399249082613
GSE115821	signed_TIDE_exclusion	0.446257504070004	0.37297102439123664	0.5250667762482022	0.2180261844853433	0.4911593941019759
GSE115821	signed_ESCS	0.451172033984534	0.3556529519469971	0.5488493938771317	0.26164774895328335	0.49639715127574047
GSE136961	immune_top5	0.612335927960928	0.43334284606278634	0.6102950030102348	0.3805875650790152	0.6645178204145791
GSE136961	tcell_checkpoint	0.5949754527879528	0.4290672255211424	0.5840457555689343	0.5278349094154644	0.6456311018424566
GSE136961	immune_mean	0.5757332366707366	0.4220029099140417	0.5848284166164961	0.509796296415669	0.6260748029972635
GSE136961	top5_minus_stroma_myeloid	0.527374592999593	0.3977065652465065	0.5730885009030704	0.43440021362267434	0.5759143463070718
GSE136961	immune_minus_suppressive	0.5179048382173381	0.39689714427264483	0.5737507525586996	0.3128743539654363	0.5664372330589054
GSE136961	suppression_inverse	0.4422746235246235	0.36272489685699344	0.544069837447321	0.36590759809480045	0.4876143602398392
GSE136961	signed_TIG	0.5978651556776556	0.41277684021318234	0.5895845875978326	0.3555710024346924	0.6479832270682064
GSE136961	signed_TIDE_dysfunction	0.5808153362840862	0.41715866693591686	0.6047561709813365	0.5539110651909223	0.6319110781799488
GSE136961	signed_IFNG	0.5977665852665852	0.41663174379642687	0.5971101745936183	0.38833331105319363	0.6484536811860875
GSE136961	signed_PDCD1LG2	0.6105037901912902	0.48669463503075117	0.579951836243227	0.5117824730713507	0.6638361137549891
GSE136961	signed_CXCL9	0.5440434854497355	0.38427346632901116	0.6095123419626731	0.4154214329143482	0.5937327758643196
GSE136961	signed_MCP_CD8_T	0.5284388354700855	0.3891178774575783	0.5923540036122817	0.506354557966015	0.5775124295235785
GSE136961	signed_APM	0.6124001577126578	0.436350775684552	0.6054184226369657	0.5123722437606556	0.6644886176287337
GSE136961	signed_PDL1_CD274	0.5969411375661375	0.43547075520786793	0.6047561709813365	0.5687273284980094	0.6489524838755978
GSE136961	signed_IMPRES_template	0.5630424552299551	0.40435968314170967	0.6047561709813365	0.5522576339035237	0.6134982479361075
GSE136961	signed_HLA_DRA	0.558613782051282	0.42196356947721625	0.5647802528597231	0.4063676127781128	0.607950973168129
GSE136961	signed_CTLA4	0.4998683608058608	0.37520287153598597	0.6047561709813365	0.48813154154170624	0.5488663129317268
GSE136961	signed_CYT	0.5007039835164835	0.3777422564840944	0.5675496688741721	0.5309521750533975	0.5479685797843968
GSE136961	signed_PDCD1	0.5130262388074888	0.36462259338296865	0.5758579169175195	0.5125697050092575	0.5600502643225131
GSE136961	signed_TLS	0.5069565272690273	0.40124057020538917	0.5475015051173991	0.41651305132895905	0.5543936310351667
