endpoint	stratum	holdout	model_name	selected_model	state	gene	direction	selection_frequency	training_abs_correlation	direction_stability	state_prior_seed	state_candidate_score
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	myeloid_suppression	CD163	1.0	0.45454545454545453	0.10031695380040949	0.6666666666666666	1.0	1.4747531203206228
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	myeloid_suppression	CSF1R	1.0	0.6136363636363636	0.02343305586429013	1.0	1.0	1.4752479347776588
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	myeloid_suppression	MRC1	1.0	0.5454545454545454	0.07282136547104513	0.6666666666666666	1.0	1.4451280118911642
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	tcell_dysfunction	LAG3	1.0	0.4772727272727273	0.1772644095655006	0.6666666666666666	1.0	1.6776601195491958
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	tcell_dysfunction	MIR143,MIR143HG	1.0	0.9772727272727273	0.6257842017515911	1.0	0.0	0.9242508873881405
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	tcell_dysfunction	PDCD1	1.0	0.5454545454545454	0.16165301315795366	1.0	1.0	1.7441729613269834
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	tcell_dysfunction	TOX	1.0	0.29545454545454547	0.09238308934829297	0.6666666666666666	1.0	1.4662047818801769
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	tnk_effector	CD8B	1.0	0.3409090909090909	0.18090133711821557	0.6666666666666666	1.0	1.5615787253927447
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	tnk_effector	GNLY	1.0	0.4772727272727273	0.19209462867938673	1.0	1.0	1.6569722653385002
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	tnk_effector	IFNG	1.0	0.7272727272727273	0.13887660731735282	1.0	1.0	1.7196325338017235
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	tumor_dedifferentiation	MIR143,MIR143HG	1.0	0.9772727272727273	0.6257842017515911	1.0	0.0	0.9242508873881405
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	tumor_dedifferentiation	NGFR	1.0	0.36363636363636365	0.01836380739022356	0.6666666666666666	1.0	1.3864527421125248
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	tumor_dedifferentiation	ZEB1	1.0	0.1590909090909091	0.13253392181592838	0.6666666666666666	1.0	1.5094652770235524
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoBioObjective	word_no_bio_objective	antigen_presentation_mhc	B2M	1.0	0.5	0.24682893619627436	1.0	1.0	1.8359457186640067
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoBioObjective	word_no_bio_objective	antigen_presentation_mhc	PSMB8	1.0	0.4375	0.12144276920832435	1.0	1.0	1.5808484533108902
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoBioObjective	word_no_bio_objective	antigen_presentation_mhc	TAP2	1.0	0.453125	0.09349417261506827	0.6666666666666666	1.0	1.4674019180119113
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoBioObjective	word_no_bio_objective	caf_ecm_exclusion	COL1A1	-1.0	0.390625	0.18365904269398503	1.0	1.0	1.7678833472731736
