cell_id	module_score	state	patient_id	cell_type	treatment_group	Cohort	no.of.genes	no.of.reads
cy94_cd45pos_D10_S142_comb	4.086352877422667	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	7274	350717
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B02_S974_comb	1.27819886916433	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	2834	43232
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G08_S1040_comb	1.555414232917078	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	2724	91456
cy80_Cd45_pos_Pd1_neg_S252_C12_S252_comb	0.0	caf_ecm_exclusion	Mel80	B.cell	treatment.naive	Tirosh	4242	107473
CY89A_CD45_POS_6_A05_S101_comb	1.338542542505748	caf_ecm_exclusion	Mel89	Macrophage	treatment.naive	Tirosh	4741	229184
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F05_S1025_comb	1.326351822058982	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	2214	52593
cy94_cd45pos_4_E09_S57_comb	0.500466120343202	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	4506	479534
cy60_1_cd_45_pos_3_G08_S368_comb	1.0495171564086119	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	2678	78244
Cy81_Bulk_CD45_E07_S151_comb	0.0	caf_ecm_exclusion	Mel81	?	treatment.naive	Tirosh	3553	168846
cy60_1_cd_45_pos_4_C08_S32_comb	0.9592191177710365	caf_ecm_exclusion	Mel60	Macrophage	post.treatment	Tirosh	4110	123784
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H07_S571_comb	0.9267676074334099	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	3100	43066
cy74_CD45_pos_G04_S748_comb	1.7869900235432141	caf_ecm_exclusion	Mel74	B.cell	post.treatment	Tirosh	2720	60372
cy74_CD45_pos_B10_S694_comb	2.794065225284954	caf_ecm_exclusion	Mel74	T.CD8	post.treatment	Tirosh	3532	65557
Cy81_Bulk_CD45_F07_S163_comb	0.0	caf_ecm_exclusion	Mel81	Mal	treatment.naive	Tirosh	3527	383011
cy72_CD45_pos_D04_S904_comb	0.0	caf_ecm_exclusion	Mel72	B.cell	post.treatment	Tirosh	3531	95211
cy94_cd45pos_H07_S187_comb	3.20693522792257	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	7033	720659
Cy72_CD45_D06_S714_comb	0.0	caf_ecm_exclusion	Mel72	?	post.treatment	Tirosh	3550	161009
cy82_CD45_pos_3_B08_S20_comb	0.0	caf_ecm_exclusion	Mel82	NK	treatment.naive	Tirosh	2724	31094
CY58_1_CD45_G12_S1044_comb	0.0	caf_ecm_exclusion	Mel58	?	post.treatment	Tirosh	2461	68975
CY89A_CD45_POS_6_A06_S102_comb	0.0	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	2272	43154
Cy74_CD45_C07_S415_comb	1.288220328148486	caf_ecm_exclusion	Mel74	Macrophage	post.treatment	Tirosh	2779	157271
cy94_cd45pos_B10_S118_comb	0.0	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	3985	130246
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B04_S976_comb	0.96573647026255	caf_ecm_exclusion	Mel60	T.cell	post.treatment	Tirosh	2877	65514
cy60_1_cd_45_pos_4_G11_S83_comb	0.0	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	2607	62250
cy94_cd45pos_4_C07_S31_comb	0.936626997025218	caf_ecm_exclusion	Mel94	T.CD4	post.treatment	Tirosh	2190	34309
cy60_1_cd_45_pos_3_A07_S295_comb	1.536370960929812	caf_ecm_exclusion	Mel60	NK	post.treatment	Tirosh	3917	117670
cy72_CD45_pos_G01_S937_comb	0.5990245338207261	caf_ecm_exclusion	Mel72	B.cell	post.treatment	Tirosh	6144	144761
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D03_S519_comb	0.6980370036191881	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	2401	16391
CY89A_CD45_POS_10_E06_S246_comb	1.373054920677762	caf_ecm_exclusion	Mel89	Macrophage	treatment.naive	Tirosh	8263	99084
