endpoint	stratum	holdout	candidate	selection_score	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	inner_sd_AUROC	weights
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.25_cytpen_1.00	0.7734100839899478	0.7097069597069597	0.6084500947313938	0.6261904761904762	0.2807595112421722	0.15842490842490842	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.25_cytpen_1.25	0.7582907307718806	0.7054029304029303	0.5859272109303648	0.603937728937729	0.2860785112701669	0.1874542124542124	"{""CYT"": -1.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.50_cytpen_0.50	0.7472467425670235	0.6596153846153846	0.558005691572421	0.6818681318681319	0.2981756285395488	0.03269230769230769	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.50_cytpen_0.75	0.7637211829336092	0.6754578754578755	0.577071154307744	0.6997252747252747	0.2560681161804438	0.06904761904761908	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.50_cytpen_1.00	0.7974889331664596	0.7165750915750916	0.632388055495242	0.636996336996337	0.24504451137643266	0.10760073260073255	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.50_cytpen_1.25	0.7917558670471345	0.7232600732600732	0.6454798977284879	0.604945054945055	0.2702289195648361	0.14761904761904765	"{""CYT"": -1.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.75_cytpen_0.50	0.7192044637879104	0.6357142857142857	0.5333548043782638	0.6295787545787546	0.3027570529460461	0.012637362637362648	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.75_cytpen_0.75	0.7367955353993435	0.6562271062271062	0.5655898545947069	0.5999084249084249	0.2986418266085975	0.03058608058608059	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.75_cytpen_1.00	0.7711751276586883	0.6867216117216117	0.6007675831229248	0.6510989010989011	0.2697855373052723	0.06877289377289375	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.75_cytpen_1.25	0.7982957419186208	0.7197802197802199	0.6381580585732116	0.6434065934065933	0.2876182218045865	0.10439560439560441	"{""CYT"": -1.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_exclusion_context_0.25	0.7041843241699273	0.6293040293040293	0.5224419307474019	0.5833333333333333	0.28041553886497905	0.03827838827838831	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_exclusion"": 0.25}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_exclusion_context_0.50	0.7024913238150388	0.6286630036630036	0.5173370820913751	0.6234432234432234	0.2861967377138812	0.05815018315018311	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_exclusion"": 0.5}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_exclusion_context_0.75	0.7190691378009604	0.6424908424908424	0.5310420928582236	0.6176739926739927	0.23384888334678794	0.07454212454212455	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_exclusion"": 0.75}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_prior	0.7536011030028027	0.6815943559364612	0.7219762250433064	0.55354112262007	0.2619954368726896	0.14672722006363606	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_cytotoxic_penalty_0.250	0.767310862615617	0.687707029812293	0.7302144123026091	0.599256372282688	0.23059468504540023	0.1514188857533287	"{""CYT"": -0.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_cytotoxic_penalty_0.375	0.7731919683537879	0.6940124933545987	0.72159378728026	0.6260935701725175	0.24065873450870312	0.15761693647609154	"{""CYT"": -0.375, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_cytotoxic_penalty_0.500	0.7757466869257535	0.6996806190885138	0.7126334570373857	0.6771346343714764	0.2705151478560159	0.17929613259022445	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_cytotoxic_penalty_0.625	0.7870093310699738	0.7093878343878344	0.7191491213166313	0.6595907747223536	0.24643028228465289	0.17804732346646868	"{""CYT"": -0.625, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_cytotoxic_penalty_0.750	0.7682426463259597	0.6984163497321392	0.7016627607388856	0.6211657494552232	0.27649654099200555	0.17403450163194945	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_cytotoxic_penalty_1.000	0.6640603688879267	0.6108087818614135	0.6690976377228542	0.5685341705078547	0.25714724548486334	0.22398434624035657	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.25_cytpen_0.50	0.7494182809279298	0.6753254055885635	0.7111896790297555	0.6232597811545181	0.26309187262107386	0.1652144170847679	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.25_cytpen_0.75	0.7811547670028508	0.7056941596415282	0.7320210468332911	0.6318564476459213	0.25920981588145425	0.17503080249226588	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.25_cytpen_1.00	0.7496755678265158	0.679462350514982	0.6960575289333524	0.6460337907706329	0.2567230194689796	0.191618063559834	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.25_cytpen_1.25	0.6076187833577554	0.5783208020050125	0.6516391404364662	0.4780829550566392	0.3114897457317394	0.2626262681169685	"{""CYT"": -1.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.50_cytpen_0.50	0.7743343750497775	0.6930565779249989	0.7324363851409469	0.6175363379310748	0.2553419187443266	0.14092641653995433	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.50_cytpen_0.75	0.7598759366406028	0.6840403748298485	0.7134780729351865	0.6232597811545181	0.24791873924754096	0.16523174836730992	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.50_cytpen_1.00	0.771979885219358	0.6944820530346846	0.7296284760040449	0.641481690823796	0.23269903310314366	0.18171640593898167	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.50_cytpen_1.25	0.738746313614294	0.6706425884057463	0.7112154880736318	0.6120389113810166	0.2402621141191853	0.20097751662499336	"{""CYT"": -1.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.75_cytpen_0.50	0.7511428128493924	0.6760122187753766	0.7115407805019132	0.5738563337247548	0.2553419187443266	0.13937462737109205	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.75_cytpen_0.75	0.7541825264277022	0.6729502222923275	0.7122548738786086	0.6559978763926132	0.2501723599848475	0.15287867446631379	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_recist_supported_primary	GSE91061	rank_module_dysfunction_0.75_cytpen_1.00	0.7612748999481974	0.6853110339952445	0.7247181197446319	0.6143312097259466	0.2507182573561417	0.1643462062924539	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
