candidate	group	external_AUROC	external_AUPRC	external_BA	primary_AUROC	primary_AUPRC	primary_BA
0.65*base+0.35*pct__SIRPG	strict_phs_gse	0.647172619047619	0.6639806270048553	0.6166666666666667	0.7721558768070396	0.6622197758639035	0.6337209302325582
0.65*base+0.35*pct__SIRPG	phs_only	0.6193181818181819	0.6222254587616793	0.5931818181818181	0.7721558768070396	0.6622197758639035	0.6337209302325582
0.65*base+0.35*pct__SIRPG	gse145996_only	0.9	0.9472222222222222	0.875	0.7721558768070396	0.6622197758639035	0.6337209302325582
0.35*base+0.65*z__BLK	strict_phs_gse	0.659375	0.6727360953993381	0.593452380952381	0.7718416090509114	0.670466571987241	0.7031741043368951
0.35*base+0.65*z__BLK	phs_only	0.6685606060606061	0.6660284971697492	0.5984848484848485	0.7718416090509114	0.670466571987241	0.7031741043368951
0.35*base+0.65*z__BLK	gse145996_only	0.675	0.7947781385281385	0.6125	0.7718416090509114	0.670466571987241	0.7031741043368951
0.65*base+0.35*pct__DIAPH1	strict_phs_gse	0.6938988095238097	0.7078923077884547	0.6452380952380952	0.7718416090509113	0.6774039016400247	0.7196731615336267
0.65*base+0.35*pct__DIAPH1	phs_only	0.6681818181818182	0.6711608382777491	0.6257575757575757	0.7718416090509113	0.6774039016400247	0.7196731615336267
0.65*base+0.35*pct__DIAPH1	gse145996_only	0.825	0.8951388888888889	0.8	0.7718416090509113	0.6774039016400247	0.7196731615336267
0.80*base+0.20*pct__SLAMF7	strict_phs_gse	0.6827380952380953	0.6958567103862439	0.5827380952380953	0.7715273412947831	0.6889815607541525	0.6312067881835324
0.80*base+0.20*pct__SLAMF7	phs_only	0.6579545454545456	0.651849217951683	0.5759469696969697	0.7715273412947831	0.6889815607541525	0.6312067881835324
0.80*base+0.20*pct__SLAMF7	gse145996_only	0.875	0.9206845238095238	0.65	0.7715273412947831	0.6889815607541525	0.6312067881835324
0.80*base+0.20*pct__CCR4	strict_phs_gse	0.6617559523809524	0.6885290957002944	0.593452380952381	0.771213073538655	0.6765888776362656	0.7118164676304211
0.80*base+0.20*pct__CCR4	phs_only	0.6549242424242424	0.668334083330731	0.5916666666666667	0.771213073538655	0.6765888776362656	0.7118164676304211
0.80*base+0.20*pct__CCR4	gse145996_only	0.825	0.899440836940837	0.6875	0.771213073538655	0.6765888776362656	0.7118164676304211
0.80*base+0.20*z__TRAF3IP3	strict_phs_gse	0.6854166666666667	0.6989689817559107	0.6190476190476191	0.771213073538655	0.6689697595857325	0.7185732243871779
0.80*base+0.20*z__TRAF3IP3	phs_only	0.6587121212121212	0.6585039299670122	0.6085227272727273	0.771213073538655	0.6689697595857325	0.7185732243871779
0.80*base+0.20*z__TRAF3IP3	gse145996_only	0.875	0.9206845238095238	0.7125	0.771213073538655	0.6689697595857325	0.7185732243871779
0.80*base+0.20*rz__TRAF3IP3	strict_phs_gse	0.6842261904761905	0.6983223477170477	0.6190476190476191	0.771213073538655	0.6689697595857325	0.7185732243871779
0.80*base+0.20*rz__TRAF3IP3	phs_only	0.6587121212121212	0.6585039299670122	0.6085227272727273	0.771213073538655	0.6689697595857325	0.7185732243871779
0.80*base+0.20*rz__TRAF3IP3	gse145996_only	0.875	0.9206845238095238	0.7125	0.771213073538655	0.6689697595857325	0.7185732243871779
0.80*base+0.20*pct__BLK	strict_phs_gse	0.6742559523809524	0.6894263542262459	0.6101190476190477	0.7712130735386549	0.6762529953329481	0.6799182903834067
0.80*base+0.20*pct__BLK	phs_only	0.6666666666666665	0.6716110884618379	0.6085227272727273	0.7712130735386549	0.6762529953329481	0.6799182903834067
0.80*base+0.20*pct__BLK	gse145996_only	0.7749999999999999	0.8610479797979798	0.65	0.7712130735386549	0.6762529953329481	0.6799182903834067
0.65*base+0.35*z__LCK	strict_phs_gse	0.6671130952380953	0.6930667570540916	0.5720238095238095	0.7708988057825267	0.6837586180038505	0.721558768070396
0.65*base+0.35*z__LCK	phs_only	0.6393939393939394	0.6611153254812552	0.5615530303030303	0.7708988057825267	0.6837586180038505	0.721558768070396
0.65*base+0.35*z__LCK	gse145996_only	0.9	0.9317956349206349	0.65	0.7708988057825267	0.6837586180038505	0.721558768070396
0.65*base+0.35*rz__LCK	strict_phs_gse	0.6677083333333333	0.6947393125342033	0.5720238095238095	0.7708988057825267	0.6837586180038505	0.721558768070396
0.65*base+0.35*rz__LCK	phs_only	0.6393939393939394	0.6611153254812552	0.5615530303030303	0.7708988057825267	0.6837586180038505	0.721558768070396
0.65*base+0.35*rz__LCK	gse145996_only	0.9	0.9317956349206349	0.65	0.7708988057825267	0.6837586180038505	0.721558768070396
