endpoint	stratum	ablation_model	n_samples	full_AUROC	ablation_AUROC	delta_AUROC	full_AUPRC	ablation_AUPRC	full_ECE	ablation_ECE	bootstrap_mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
primary_recist	pan_cancer_without_secondary	EcoNiche-Opt-WordNoBioObjective	369	0.6468593135259801	0.6429249762583096	0.003934337267670562	0.4490036492402111	0.4511294113606318	0.27376219658779866	0.27233479879756023	0.0038266453572333094	0.00033087567102111644	0.007138744849500769	0.032	0.11520000000000001	point_estimate_component_gain
primary_recist	pan_cancer_without_secondary	EcoNiche-Opt-WordUnsignedGraph	369	0.6468593135259801	0.6391602224935559	0.007699091032424277	0.4490036492402111	0.43777496612454375	0.27376219658779866	0.2904963256185522	0.007936051382105565	-0.003904412151309608	0.020042957925213857	0.18	0.40499999999999997	point_estimate_component_gain
primary_recist	secondary_confounded_transfer	EcoNiche-Opt-WordUnsignedGraph	185	0.6157571462319869	0.6176470588235293	-0.0018899125915424753	0.582894879237611	0.5888468731823397	0.26482513528771073	0.3380695145316518	-0.0017597915377569311	-0.009515024930822591	0.006443715202855673	0.636	1.0	component_not_supported
primary_recist	secondary_confounded_transfer	EcoNiche-Opt-WordNoBioObjective	185	0.6157571462319869	0.6158752657689581	-0.00011811953697127286	0.582894879237611	0.5813772292315074	0.26482513528771073	0.2710744000398633	-0.0001190271224915404	-0.0041803027871951445	0.0039154621714101515	0.968	1.0	component_not_supported
primary_recist	secondary_confounded_transfer	EcoNiche-Opt-WordNoInteraction	185	0.6157571462319869	0.6157571462319867	1.1102230246251565e-16	0.582894879237611	0.5827952877928739	0.26482513528771073	0.26499720850400293	-2.0690329968288844e-05	-0.0010716018794289129	0.000949889501291498	1.0	1.0	point_estimate_component_gain
strict_recist	melanoma_anti_pd1_primary	EcoNiche-Opt-WordNoBioObjective	137	0.6404301075268818	0.6412903225806452	-0.0008602150537634357	0.5849995040950839	0.5770940726205154	0.24626145958834278	0.23778159097463958	-0.0009654590385494652	-0.009956415401981653	0.0074958887458887345	0.828	0.9936	component_not_supported
strict_recist	melanoma_anti_pd1_primary	EcoNiche-Opt-WordNoInteraction	137	0.6404301075268818	0.6404301075268818	0.0	0.5849995040950839	0.5867188765526515	0.24626145958834278	0.2457025132526932	-3.0465886939566812e-05	-0.0028288323435490897	0.00279590998914527	0.992	1.0	component_not_supported
strict_recist	melanoma_anti_pd1_primary	EcoNiche-Opt-WordUnsignedGraph	137	0.6404301075268818	0.6391397849462366	0.001290322580645209	0.5849995040950839	0.5853111796145105	0.24626145958834278	0.26032987057151263	0.001131353993019464	-0.02143304331281586	0.024240548638138997	0.932	1.0	point_estimate_component_gain
strict_recist	melanoma_binary_response_stress	EcoNiche-Opt-WordNoBioObjective	29	0.4595959595959596	0.4797979797979798	-0.020202020202020166	0.3672777249332273	0.3756784151520994	0.3973810548081105	0.4242443874570534	-0.02047186622149033	-0.06666666666666671	0.0	0.352	0.8537142857142858	component_not_supported
strict_recist	melanoma_binary_response_stress	EcoNiche-Opt-WordNoInteraction	29	0.4595959595959596	0.4595959595959596	0.0	0.3672777249332273	0.3672777249332273	0.3973810548081105	0.3977373728756629	4.440892098500626e-19	0.0	5.551115123125783e-17	1.0	1.0	component_not_supported
strict_recist	melanoma_binary_response_stress	EcoNiche-Opt-WordUnsignedGraph	29	0.4595959595959596	0.45454545454545453	0.005050505050505083	0.3672777249332273	0.36157274098450565	0.3973810548081105	0.4664979924315874	0.00498866246618131	-0.04444444444444445	0.05716356107660455	0.948	1.0	point_estimate_component_gain
strict_recist	melanoma_core_high_evidence	EcoNiche-Opt-WordNoInteraction	95	0.7079606440071555	0.7075134168157423	0.0004472271914132131	0.6459424055792968	0.6453610102304597	0.2030127820179179	0.20292986168237487	0.0004395185683114433	0.0	0.0026668449197861347	1.0	1.0	point_estimate_component_gain
strict_recist	melanoma_core_high_evidence	EcoNiche-Opt-WordNoBioObjective	95	0.7079606440071555	0.7043828264758497	0.003577817531305816	0.6459424055792968	0.6409195400423906	0.2030127820179179	0.20205182989273868	0.0036893090326704913	-0.0017891096763409276	0.011306610471615346	0.244	0.3378461538461538	point_estimate_component_gain
strict_recist	melanoma_core_high_evidence	EcoNiche-Opt-WordUnsignedGraph	95	0.7079606440071555	0.7016994633273703	0.006261180679785205	0.6459424055792968	0.632374025953412	0.2030127820179179	0.20310411019054692	0.00614732878691923	-0.02623750745378645	0.03591095296547439	0.68	0.80325	point_estimate_component_gain
strict_recist	melanoma_core_plus_phs000452	EcoNiche-Opt-WordUnsignedGraph	200	0.6370214048839313	0.639533715204502	-0.002512310320570643	0.6166232659010505	0.6166311365560566	0.2522407003306646	0.2727141361576347	-0.002295464309350403	-0.01250325792326944	0.007697600682741389	0.674	0.765	component_not_supported
strict_recist	melanoma_core_plus_phs000452	EcoNiche-Opt-WordNoInteraction	200	0.6370214048839313	0.6368204200582857	0.0002009848256456781	0.6166232659010505	0.6165923362567965	0.2522407003306646	0.2516990697851163	0.00018603701438718684	-0.0016132291155484147	0.002003737410163014	0.848	0.886	point_estimate_component_gain
strict_recist	melanoma_core_plus_phs000452	EcoNiche-Opt-WordNoBioObjective	200	0.6370214048839313	0.63661943523264	0.0004019696512913562	0.6166232659010505	0.6146966988986615	0.2522407003306646	0.24927170440592672	0.0004839818931882604	-0.005175199121945989	0.006566515151515031	0.886	0.886	point_estimate_component_gain
strict_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordUnsignedGraph	108	0.6924664602683178	0.694186446508428	-0.0017199862401101607	0.6662217524937818	0.6621046708413236	0.2009191734582986	0.2491916888323735	-0.0013777262005877234	-0.01932740538075695	0.016458175435797116	0.9	0.8999999999999999	component_not_supported
strict_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordNoInteraction	108	0.6924664602683178	0.6921224630202958	0.00034399724802203213	0.6662217524937818	0.6663025400877652	0.2009191734582986	0.1975047550535205	0.00036988923099725657	-0.0021645021645021467	0.003091517857142847	0.862	0.8999999999999999	point_estimate_component_gain
strict_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordNoBioObjective	108	0.6924664602683178	0.6890264877880977	0.0034399724802200993	0.6662217524937818	0.6625487990054931	0.2009191734582986	0.22055666364376364	0.0034315331429851056	-0.005191970795926112	0.01241379310344815	0.442	0.5544	point_estimate_component_gain
strict_recist	pan_cancer_response_all	EcoNiche-Opt-WordUnsignedGraph	480	0.6541249999999998	0.6615892857142857	-0.007464285714285812	0.5700239533823823	0.573411602124954	0.2555622346548884	0.28688450769091417	-0.007552633052617397	-0.014240351865820317	-0.0009160182667696443	0.028	0.056	component_not_supported
strict_recist	pan_cancer_response_all	EcoNiche-Opt-WordNoInteraction	480	0.6541249999999998	0.6546428571428571	-0.0005178571428572365	0.5700239533823823	0.5703349113924805	0.2555622346548884	0.256093380426621	-0.0005233719496468545	-0.0011751142364944316	0.00010622998413690706	0.106	0.1362857142857143	component_not_supported
strict_recist	pan_cancer_response_all	EcoNiche-Opt-WordNoBioObjective	480	0.6541249999999998	0.6505714285714286	0.003553571428571267	0.5700239533823823	0.5711025986937046	0.2555622346548884	0.2591481618078221	0.0035825759758589715	0.0004317621501623459	0.006768311484867034	0.022	0.056	point_estimate_component_gain
strict_recist	pan_cancer_without_secondary	EcoNiche-Opt-WordNoInteraction	316	0.6572606622857879	0.6573895116608686	-0.00012884937508061967	0.5128884097317543	0.5129426470046811	0.24681419944517186	0.24680045539681061	-0.00013071562373959833	-0.0007878151260504202	0.00043955734461352525	0.736	0.8131764705882353	component_not_supported
strict_recist	pan_cancer_without_secondary	EcoNiche-Opt-WordNoBioObjective	316	0.6572606622857879	0.655757419576515	0.001503242709272934	0.5128884097317543	0.5133231182291611	0.24681419944517186	0.24158157361129234	0.001492473017374611	-0.0017524020587415118	0.004704996742573283	0.38	0.522	point_estimate_component_gain
strict_recist	pan_cancer_without_secondary	EcoNiche-Opt-WordUnsignedGraph	316	0.6572606622857879	0.6425718335266074	0.014688828759180539	0.5128884097317543	0.5015516828821734	0.24681419944517186	0.2613028729117478	0.014553832701083373	0.004533413980622111	0.025087917948440758	0.01	0.045	FDR_supported_component_gain
strict_recist	secondary_confounded_transfer	EcoNiche-Opt-WordNoInteraction	164	0.6355793544548566	0.6355793544548565	1.1102230246251565e-16	0.6557297837289943	0.6555608257206749	0.24730623120468062	0.24752483874978565	-2.630144414255059e-05	-0.0014952153110046108	0.0013516429878309612	1.0	1.0	point_estimate_component_gain
strict_recist	secondary_confounded_transfer	EcoNiche-Opt-WordNoBioObjective	164	0.6355793544548566	0.6334969507660271	0.002082403688829504	0.6557297837289943	0.6542410840316029	0.24730623120468062	0.23520295463516283	0.0019692968773315014	-0.002383370869789572	0.0066315367471188056	0.398	1.0	point_estimate_component_gain
strict_recist	secondary_confounded_transfer	EcoNiche-Opt-WordUnsignedGraph	164	0.6355793544548566	0.6333482076453963	0.0022311468094602382	0.6557297837289943	0.6541370270593073	0.24730623120468062	0.2164574222876281	0.002190795337395295	-0.0025382270068146167	0.007436299130530435	0.39	1.0	point_estimate_component_gain
